Char   Codepoint     Frequency
窮      U+07AAE          16765
教      U+06559          16726
堪      U+0582A          16714
时      U+065F6          16689
偈      U+05048          16652
發      U+0767C          16629
女      U+05973          16549
垂      U+05782          16544
寧      U+05BE7          16540
曉      U+066C9          16531
雙      U+096D9          16512
口      U+053E3          16451
圖      U+05716          16385
再      U+0518D          16314
靜      U+0975C          16277
蕭      U+0856D          16250
英      U+082F1          16224
連      U+09023          16194
京      U+04EAC          16154
帝      U+05E1D          16153
賢      U+08CE2          16017
聽      U+0807D          15991
昔      U+06614          15963
步      U+06B65          15930
斷      U+065B7          15871
飲      U+098F2          15868
聖      U+08056          15868
但      U+04F46          15824
鶴      U+09DB4          15819
符      U+07B26          15818
食      U+098DF          15786
全      U+05168          15772
惟      U+060DF          15766
民      U+06C11          15723
死      U+06B7B          15717
挽      U+0633D          15684
面      U+09762          15673
皆      U+07686          15665
遺      U+0907A          15570
侍      U+04F8D          15539
散      U+06563          15526
舍      U+0820D          15515
車      U+08ECA          15498
舞      U+0821E          15470
念      U+05FF5          15458
蒼      U+084BC          15457
識      U+08B58          15384
愛      U+0611B          15371
良      U+0826F          15364
院      U+09662          15350
鳴      U+09CF4          15333
倚      U+0501A          15277
莊      U+0838A          15276
虛      U+0865B          15229
楚      U+0695A          15215
化      U+05316          15171
轉      U+08F49          15171
绍      U+07ECD          15138
動      U+052D5          15122
洪      U+06D2A          15106
雖      U+096D6          14968
法      U+06CD5          14915
佳      U+04F73          14844
殘      U+06B98          14800
目      U+076EE          14762
禪      U+079AA          14760
忘      U+05FD8          14737
郊      U+090CA          14718
司      U+053F8          14716
美      U+07F8E          14694
齋      U+09F4B          14668
火      U+0706B          14649
羅      U+07F85          14617
親      U+089AA          14447
珠      U+073E0          14396
力      U+0529B          14392
长      U+0957F          14381
的      U+07684          14361
憶      U+061B6          14347
甫      U+0752B          14327
永      U+06C38          14324
沈      U+06C88          14273
取      U+053D6          14246
父      U+07236          14182
收      U+06536          14176
悲      U+060B2          14148
秦      U+079E6          14114
寂      U+05BC2          14043
秀      U+079C0          14040
冷      U+051B7          14031
牌      U+0724C          14012
修      U+04FEE          14001
藏      U+085CF          13994
红      U+07EA2          13945
曹      U+066F9          13933
破      U+07834          13930
村      U+06751          13845
想      U+060F3          13815
燈      U+071C8          13796
疏      U+0758F          13751
廟      U+05EDF          13699
鄭      U+0912D          13642
壁      U+058C1          13537
祖      U+07956          13525
筆      U+07B46          13520
必      U+05FC5          13489
叔      U+053D4          13465
縣      U+07E23          13458
錄      U+09304          13404
浪      U+06D6A          13403
把      U+0628A          13371
論      U+08AD6          13348
偶      U+05076          13346
交      U+04EA4          13315
錢      U+09322          13290
宜      U+05B9C          13275
