Char   Codepoint     Frequency   Percentage
牛      U+0725B             20        0.05%
秦      U+079E6             20        0.05%
管      U+07BA1             20        0.05%
羊      U+07F8A             20        0.05%
處      U+08655             20        0.05%
變      U+08B8A             20        0.05%
賊      U+08CCA             20        0.05%
賤      U+08CE4             20        0.05%
充      U+05145             19        0.05%
北      U+05317             19        0.05%
后      U+0540E             19        0.05%
射      U+05C04             19        0.05%
就      U+05C31             19        0.05%
待      U+05F85             19        0.05%
忍      U+05FCD             19        0.05%
畝      U+0755D             19        0.05%
秋      U+079CB             19        0.05%
虞      U+0865E             19        0.05%
飢      U+098E2             19        0.05%
倍      U+0500D             18        0.04%
口      U+053E3             18        0.04%
執      U+057F7             18        0.04%
太      U+0592A             18        0.04%
患      U+060A3             18        0.04%
敵      U+06575             18        0.04%
月      U+06708             18        0.04%
木      U+06728             18        0.04%
殷      U+06BB7             18        0.04%
畏      U+0754F             18        0.04%
發      U+0767C             18        0.04%
眾      U+0773E             18        0.04%
禽      U+079BD             18        0.04%
繼      U+07E7C             18        0.04%
美      U+07F8E             18        0.04%
順      U+09806             18        0.04%
似      U+04F3C             17        0.04%
勇      U+052C7             17        0.04%
右      U+053F3             17        0.04%
夏      U+0590F             17        0.04%
庸      U+05EB8             17        0.04%
徒      U+05F92             17        0.04%
戰      U+06230             17        0.04%
數      U+06578             17        0.04%
柳      U+067F3             17        0.04%
澤      U+06FA4             17        0.04%
燕      U+071D5             17        0.04%
率      U+07387             17        0.04%
觀      U+089C0             17        0.04%
識      U+08B58             17        0.04%
近      U+08FD1             17        0.04%
野      U+091CE             17        0.04%
餘      U+09918             17        0.04%
馬      U+099AC             17        0.04%
任      U+04EFB             16        0.04%
宋      U+05B8B             16        0.04%
恐      U+06050             16        0.04%
恭      U+0606D             16        0.04%
書      U+066F8             16        0.04%
粟      U+07C9F             16        0.04%
載      U+08F09             16        0.04%
難      U+096E3             16        0.04%
面      U+09762             16        0.04%
飲      U+098F2             16        0.04%
主      U+04E3B             15        0.04%
兮      U+0516E             15        0.04%
名      U+0540D             15        0.04%
宮      U+05BAE             15        0.04%
尚      U+05C1A             15        0.04%
市      U+05E02             15        0.04%
帝      U+05E1D             15        0.04%
幾      U+05E7E             15        0.04%
招      U+062DB             15        0.04%
春      U+06625             15        0.04%
梁      U+06881             15        0.04%
濯      U+06FEF             15        0.04%
紂      U+07D02             15        0.04%
許      U+08A31             15        0.04%
語      U+08A9E             15        0.04%
離      U+096E2             15        0.04%
霸      U+09738             15        0.04%
凡      U+051E1             14        0.03%
勞      U+052DE             14        0.03%
匹      U+05339             14        0.03%
南      U+05357             14        0.03%
喜      U+0559C             14        0.03%
墨      U+058A8             14        0.03%
婦      U+05A66             14        0.03%
宣      U+05BA3             14        0.03%
復      U+05FA9             14        0.03%
改      U+06539             14        0.03%
桀      U+06840             14        0.03%
棄      U+068C4             14        0.03%
比      U+06BD4             14        0.03%
況      U+06CC1             14        0.03%
法      U+06CD5             14        0.03%
獲      U+07372             14        0.03%
畜      U+0755C             14        0.03%
盛      U+076DB             14        0.03%
目      U+076EE             14        0.03%
祭      U+0796D             14        0.03%
窮      U+07AAE             14        0.03%
經      U+07D93             14        0.03%
致      U+081F4             14        0.03%
誅      U+08A85             14        0.03%
貨      U+08CA8             14        0.03%
閒      U+09592             14        0.03%
魚      U+09B5A             14        0.03%
乃      U+04E43             13        0.03%
九      U+04E5D             13        0.03%
井      U+04E95             13        0.03%
儀      U+05100             13        0.03%
功      U+0529F             13        0.03%
博      U+0535A             13        0.03%
召      U+053EC             13        0.03%
察      U+05BDF             13        0.03%
工      U+05DE5             13        0.03%
恆      U+06046             13        0.03%
火      U+0706B             13        0.03%
產      U+07522             13        0.03%
病      U+075C5             13        0.03%
直      U+076F4             13        0.03%
覺      U+089BA             13        0.03%
誰      U+08AB0             13        0.03%
踰      U+08E30             13        0.03%
輕      U+08F15             13        0.03%
退      U+09000             13        0.03%
都      U+090FD             13        0.03%
隱      U+096B1             13        0.03%
類      U+0985E             13        0.03%
丘      U+04E18             12        0.03%
兼      U+0517C             12        0.03%
化      U+05316             12        0.03%
厚      U+0539A             12        0.03%
季      U+05B63             12        0.03%
容      U+05BB9             12        0.03%
寇      U+05BC7             12        0.03%
尺      U+05C3A             12        0.03%
役      U+05F79             12        0.03%
微      U+05FAE             12        0.03%
怒      U+06012             12        0.03%
慕      U+06155             12        0.03%
懷      U+061F7             12        0.03%
才      U+0624D             12        0.03%
次      U+06B21             12        0.03%
苗      U+082D7             12        0.03%
薄      U+08584             12        0.03%
象      U+08C61             12        0.03%
貢      U+08CA2             12        0.03%
邪      U+090AA             12        0.03%
顧      U+09867             12        0.03%
丈      U+04E08             11        0.03%
倫      U+0502B             11        0.03%
傳      U+050B3             11        0.03%
八      U+0516B             11        0.03%
兵      U+05175             11        0.03%
冠      U+051A0             11        0.03%
叔      U+053D4             11        0.03%
司      U+053F8             11        0.03%
城      U+057CE             11        0.03%
奪      U+0596A             11        0.03%
妾      U+059BE             11        0.03%
左      U+05DE6             11        0.03%
廢      U+05EE2             11        0.03%
忠      U+05FE0             11        0.03%
息      U+0606F             11        0.03%
慎      U+0614E             11        0.03%
戚      U+0621A             11        0.03%
挾      U+0633E             11        0.03%
援      U+063F4             11        0.03%
河      U+06CB3             11        0.03%
深      U+06DF1             11        0.03%
淵      U+06DF5             11        0.03%
溺      U+06EBA             11        0.03%
狄      U+072C4             11        0.03%
甲      U+07532             11        0.03%
瞍      U+0778D             11        0.03%
瞽      U+077BD             11        0.03%
禦      U+079A6             11        0.03%
稷      U+07A37             11        0.03%
端      U+07AEF             11        0.03%
職      U+08077             11        0.03%
蓋      U+084CB             11        0.03%
諫      U+08AEB             11        0.03%
迎      U+08FCE             11        0.03%
酒      U+09152             11        0.03%
顏      U+0984F             11        0.03%
風      U+098A8             11        0.03%
餽      U+0993D             11        0.03%
傷      U+050B7             10        0.02%
分      U+05206             10        0.02%
加      U+052A0             10        0.02%
勸      U+052F8             10        0.02%
唯      U+0552F             10        0.02%
囂      U+056C2             10        0.02%
坐      U+05750             10        0.02%
宗      U+05B97             10        0.02%
常      U+05E38             10        0.02%
序      U+05E8F             10        0.02%
慮      U+0616E             10        0.02%
戒      U+06212             10        0.02%
指      U+06307             10        0.02%
昭      U+0662D             10        0.02%
景      U+0666F             10        0.02%
末      U+0672B             10        0.02%
楊      U+0694A             10        0.02%
樹      U+06A39             10        0.02%
祀      U+07940             10        0.02%
私      U+079C1             10        0.02%
穀      U+07A40             10        0.02%
衛      U+0885B             10        0.02%
覆      U+08986             10        0.02%
車      U+08ECA             10        0.02%
輿      U+08F3F             10        0.02%
鄒      U+09112             10        0.02%
鄰      U+09130             10        0.02%
關      U+095DC             10        0.02%
陶      U+09676             10        0.02%
雞      U+096DE             10        0.02%
雨      U+096E8             10        0.02%
音      U+097F3             10        0.02%
顯      U+0986F             10        0.02%
鼓      U+09F13             10        0.02%
亟      U+04E9F              9        0.02%
代      U+04EE3              9        0.02%
倉      U+05009              9        0.02%
免      U+0514D              9        0.02%
凶      U+051F6              9        0.02%
刑      U+05211              9        0.02%
制      U+05236              9        0.02%
匠      U+05320              9        0.02%
卑      U+05351              9        0.02%
危      U+05371              9        0.02%
原      U+0539F              9        0.02%
合      U+05408              9        0.02%
味      U+05473              9        0.02%
哀      U+054C0              9        0.02%
尼      U+05C3C              9        0.02%
屋      U+05C4B              9        0.02%
屨      U+05C68              9        0.02%
幼      U+05E7C              9        0.02%
廟      U+05EDF              9        0.02%
廩      U+05EE9              9        0.02%
弓      U+05F13              9        0.02%
徐      U+05F90              9        0.02%
愈      U+06108              9        0.02%
擇      U+064C7              9        0.02%
救      U+06551              9        0.02%
晉      U+06649              9        0.02%
毀      U+06BC0              9        0.02%
汙      U+06C59              9        0.02%
獵      U+07375              9        0.02%
玉      U+07389              9        0.02%
理      U+07406              9        0.02%
疆      U+07586              9        0.02%
盍      U+076CD              9        0.02%
矢      U+077E2              9        0.02%
神      U+0795E              9        0.02%
穆      U+07A46              9        0.02%
素      U+07D20              9        0.02%
育      U+080B2              9        0.02%
薦      U+085A6              9        0.02%
解      U+089E3              9        0.02%
豫      U+08C6B              9        0.02%
貧      U+08CA7              9        0.02%
責      U+08CAC              9        0.02%
賈      U+08CC8              9        0.02%
農      U+08FB2              9        0.02%
通      U+0901A              9        0.02%
速      U+0901F              9        0.02%
遺      U+0907A              9        0.02%
驅      U+09A45              9        0.02%
厥      U+053A5              8        0.02%
厭      U+053AD              8        0.02%
和      U+0548C              8        0.02%
器      U+05668              8        0.02%
壑      U+058D1              8        0.02%
封      U+05C01              8        0.02%
帛      U+05E1B              8        0.02%
干      U+05E72              8        0.02%
度      U+05EA6              8        0.02%
廣      U+05EE3              8        0.02%
徵      U+05FB5              8        0.02%
急      U+06025              8        0.02%
意      U+0610F              8        0.02%
手      U+0624B              8        0.02%
掌      U+0638C              8        0.02%
掩      U+063A9              8        0.02%
散      U+06563              8        0.02%
新      U+065B0              8        0.02%
朋      U+0670B              8        0.02%
果      U+0679C              8        0.02%
桓      U+06853              8        0.02%
歌      U+06B4C              8        0.02%
泄      U+06CC4              8        0.02%
溝      U+06E9D              8        0.02%
炙      U+07099              8        0.02%
牧      U+07267              8        0.02%
狂      U+072C2              8        0.02%
男      U+07537              8        0.02%
疏      U+0758F              8        0.02%
盈      U+076C8              8        0.02%
矩      U+077E9              8        0.02%
社      U+0793E              8        0.02%
稱      U+07A31              8        0.02%
簞      U+07C1E              8        0.02%
羞      U+07F9E              8        0.02%
羽      U+07FBD              8        0.02%
耆      U+08006              8        0.02%
肖      U+08096              8        0.02%
草      U+08349              8        0.02%
葛      U+0845B              8        0.02%
要      U+08981              8        0.02%
起      U+08D77              8        0.02%
距      U+08DDD              8        0.02%
述      U+08FF0              8        0.02%
遇      U+09047              8        0.02%
遊      U+0904A              8        0.02%
違      U+09055              8        0.02%
飽      U+098FD              8        0.02%
仰      U+04EF0              7        0.02%
俟      U+04FDF              7        0.02%
備      U+05099              7        0.02%
儉      U+05109              7        0.02%
克      U+0514B              7        0.02%
啟      U+0555F              7        0.02%
因      U+056E0              7        0.02%
囿      U+056FF              7        0.02%
夜      U+0591C              7        0.02%
宿      U+05BBF              7        0.02%
寶      U+05BF6              7        0.02%
寸      U+05BF8              7        0.02%
崩      U+05D29              7        0.02%
幣      U+05E63              7        0.02%
廉      U+05EC9              7        0.02%
弈      U+05F08              7        0.02%
弒      U+05F12              7        0.02%
弔      U+05F14              7        0.02%
形      U+05F62              7        0.02%
恩      U+06069              7        0.02%
應      U+061C9              7        0.02%
懼      U+061FC              7        0.02%
抑      U+06291              7        0.02%
接      U+063A5              7        0.02%
攻      U+0653B              7        0.02%
斂      U+06582              7        0.02%
晝      U+0665D              7        0.02%
杞      U+0675E              7        0.02%
校      U+06821              7        0.02%
橫      U+06A6B              7        0.02%
毋      U+06BCB              7        0.02%
氏      U+06C0F              7        0.02%
池      U+06C60              7        0.02%
泣      U+06CE3              7        0.02%
洋      U+06D0B              7        0.02%
濱      U+06FF1              7        0.02%
省      U+07701              7        0.02%
笑      U+07B11              7        0.02%
繆      U+07E46              7        0.02%
经      U+07ECF              7        0.02%
罔      U+07F54              7        0.02%
羿      U+07FBF              7        0.02%
聚      U+0805A              7        0.02%
膚      U+0819A              7        0.02%
著      U+08457              7        0.02%
葬      U+0846C              7        0.02%
薛      U+0859B              7        0.02%
謳      U+08B33              7        0.02%
負      U+08CA0              7        0.02%
追      U+08FFD              7        0.02%
逆      U+09006              7        0.02%
造      U+09020              7        0.02%
配      U+0914D              7        0.02%
金      U+091D1              7        0.02%
陷      U+09677              7        0.02%
陽      U+0967D              7        0.02%
靈      U+09748              7        0.02%
餓      U+09913              7        0.02%
驩      U+09A69              7        0.02%
鳥      U+09CE5              7        0.02%
龍      U+09F8D              7        0.02%
书      U+04E66              6        0.01%
令      U+04EE4              6        0.01%
侮      U+04FAE              6        0.01%
俗      U+04FD7              6        0.01%
假      U+05047              6        0.01%
傅      U+05085              6        0.01%
六      U+0516D              6        0.01%
務      U+052D9              6        0.01%
卒      U+05352              6        0.01%
堂      U+05802              6        0.01%
塞      U+0585E              6        0.01%
威      U+05A01              6        0.01%
娶      U+05A36              6        0.01%
嬖      U+05B16              6        0.01%
孳      U+05B73              6        0.01%
孽      U+05B7D              6        0.01%
宅      U+05B85              6        0.01%
寬      U+05BEC              6        0.01%
少      U+05C11              6        0.01%
布      U+05E03              6        0.01%
廬      U+05EEC              6        0.01%
張      U+05F35              6        0.01%
徹      U+05FB9              6        0.01%
悖      U+06096              6        0.01%
惑      U+060D1              6        0.01%
承      U+0627F              6        0.01%
拜      U+062DC              6        0.01%
持      U+06301              6        0.01%
推      U+063A8              6        0.01%
措      U+063AA              6        0.01%
敖      U+06556              6        0.01%
晏      U+0664F              6        0.01%
枉      U+06789              6        0.01%
柔      U+067D4              6        0.01%
梓      U+06893              6        0.01%
極      U+06975              6        0.01%
步      U+06B65              6        0.01%
殆      U+06B86              6        0.01%
泉      U+06CC9              6        0.01%
浩      U+06D69              6        0.01%
潔      U+06F54              6        0.01%
災      U+0707D              6        0.01%
牲      U+07272              6        0.01%
犬      U+072AC              6        0.01%
畔      U+07554              6        0.01%
畢      U+07562              6        0.01%
疑      U+07591              6        0.01%
登      U+0767B              6        0.01%
礼      U+0793C              6        0.01%
禁      U+07981              6        0.01%
移      U+079FB              6        0.01%
等      U+07B49              6        0.01%
答      U+07B54              6        0.01%
築      U+07BC9              6        0.01%
簡      U+07C21              6        0.01%
罷      U+07F77              6        0.01%
考      U+08003              6        0.01%
肥      U+080A5              6        0.01%
臺      U+081FA              6        0.01%
虎      U+0864E              6        0.01%
被      U+088AB              6        0.01%
補      U+088DC              6        0.01%
規      U+0898F              6        0.01%
讓      U+08B93              6        0.01%
赤      U+08D64              6        0.01%
軍      U+08ECD              6        0.01%
輔      U+08F14              6        0.01%
辨      U+08FA8              6        0.01%
遷      U+09077              6        0.01%
間      U+09593              6        0.01%
陵      U+09675              6        0.01%
館      U+09928              6        0.01%
首      U+09996              6        0.01%
鹿      U+09E7F              6        0.01%
享      U+04EAB              5        0.01%
休      U+04F11              5        0.01%
侍      U+04F8D              5        0.01%
供      U+04F9B              5        0.01%
僕      U+050D5              5        0.01%
儲      U+05132              5        0.01%
共      U+05171              5        0.01%
典      U+05178              5        0.01%
刺      U+0523A              5        0.01%
勢      U+052E2              5        0.01%
卻      U+0537B              5        0.01%
厲      U+053B2              5        0.01%
吏      U+0540F              5        0.01%
咸      U+054B8              5        0.01%
哭      U+054ED              5        0.01%
壯      U+058EF              5        0.01%
壹      U+058F9              5        0.01%
姑      U+059D1              5        0.01%
嫂      U+05AC2              5        0.01%
孺      U+05B7A              5        0.01%
宰      U+05BB0              5        0.01%
寒      U+05BD2              5        0.01%
專      U+05C08              5        0.01%
屑      U+05C51              5        0.01%
岐      U+05C90              5        0.01%
州      U+05DDE              5        0.01%
巨      U+05DE8              5        0.01%
幸      U+05E78              5        0.01%
幽      U+05E7D              5        0.01%
庠      U+05EA0              5        0.01%
康      U+05EB7              5        0.01%
庾      U+05EBE              5        0.01%
引      U+05F15              5        0.01%
彊      U+05F4A              5        0.01%
悠      U+060A0              5        0.01%
情      U+060C5              5        0.01%
惻      U+060FB              5        0.01%
戴      U+06234              5        0.01%
敦      U+06566              5        0.01%
旅      U+065C5              5        0.01%
旦      U+065E6              5        0.01%
暇      U+06687              5        0.01%
朕      U+06715              5        0.01%
格      U+0683C              5        0.01%
桐      U+06850              5        0.01%
桮      U+0686E              5        0.01%
條      U+0689D              5        0.01%
棗      U+068D7              5        0.01%
棬      U+068EC              5        0.01%
殘      U+06B98              5        0.01%
決      U+06C7A              5        0.01%
沛      U+06C9B              5        0.01%
沼      U+06CBC              5        0.01%
渴      U+06E34              5        0.01%
牆      U+07246              5        0.01%
獻      U+0737B              5        0.01%
琴      U+07434              5        0.01%
環      U+074B0              5        0.01%
界      U+0754C              5        0.01%
畎      U+0754E              5        0.01%
的      U+07684              5        0.01%
眸      U+07738              5        0.01%
禍      U+0798D              5        0.01%
稅      U+07A05              5        0.01%
稽      U+07A3D              5        0.01%
竊      U+07ACA              5        0.01%
竭      U+07AED              5        0.01%
篤      U+07BE4              5        0.01%
約      U+07D04              5        0.01%
絕      U+07D55              5        0.01%
織      U+07E54              5        0.01%
置      U+07F6E              5        0.01%
膺      U+081BA              5        0.01%
芻      U+082BB              5        0.01%
薪      U+085AA              5        0.01%
藏      U+085CF              5        0.01%
術      U+08853              5        0.01%
衰      U+08870              5        0.01%
褐      U+08910              5        0.01%
誥      U+08AA5              5        0.01%
謀      U+08B00              5        0.01%
譽      U+08B7D              5        0.01%
讎      U+08B8E              5        0.01%
豚      U+08C5A              5        0.01%
貉      U+08C89              5        0.01%
賜      U+08CDC              5        0.01%
質      U+08CEA              5        0.01%
赫      U+08D6B              5        0.01%
走      U+08D70              5        0.01%
趨      U+08DA8              5        0.01%
踐      U+08E10              5        0.01%
輪      U+08F2A              5        0.01%
辱      U+08FB1              5        0.01%
逃      U+09003              5        0.01%
連      U+09023              5        0.01%
遂      U+09042              5        0.01%
適      U+09069              5        0.01%
郊      U+090CA              5        0.01%
郭      U+090ED              5        0.01%
鈞      U+0921E              5        0.01%
附      U+09644              5        0.01%
降      U+0964D              5        0.01%
集      U+096C6              5        0.01%
餒      U+09912              5        0.01%
馮      U+099AE              5        0.01%
鳴      U+09CF4              5        0.01%
黎      U+09ECE              5        0.01%
丁      U+04E01              4        0.01%
亳      U+04EB3              4        0.01%
什      U+04EC0              4        0.01%
介      U+04ECB              4        0.01%
佚      U+04F5A              4        0.01%
侵      U+04FB5              4        0.01%
偕      U+05055              4        0.01%
側      U+05074              4        0.01%
偽      U+0507D              4        0.01%
傑      U+05091              4        0.01%
元      U+05143              4        0.01%
光      U+05149              4        0.01%
再      U+0518D              4        0.01%
凍      U+051CD              4        0.01%
刃      U+05203              4        0.01%
