Char   Codepoint     Frequency   Percentage
湖      U+06E56           1973        0.07%
靈      U+09748           1971        0.07%
又      U+053C8           1967        0.07%
語      U+08A9E           1959        0.07%
絕      U+07D55           1956        0.07%
久      U+04E45           1951        0.07%
依      U+04F9D           1944        0.07%
真      U+0771F           1944        0.07%
鳳      U+09CF3           1937        0.07%
蕭      U+0856D           1925        0.07%
女      U+05973           1924        0.07%
鳴      U+09CF4           1921        0.07%
浮      U+06D6E           1920        0.07%
笑      U+07B11           1917        0.07%
吾      U+0543E           1915        0.07%
聽      U+0807D           1915        0.07%
魚      U+09B5A           1915        0.07%
蒼      U+084BC           1913        0.07%
皇      U+07687           1906        0.07%
忽      U+05FFD           1900        0.07%
通      U+0901A           1898        0.07%
秦      U+079E6           1889        0.06%
尚      U+05C1A           1877        0.06%
唯      U+0552F           1873        0.06%
府      U+05E9C           1865        0.06%
車      U+08ECA           1859        0.06%
丹      U+04E39           1858        0.06%
甫      U+0752B           1851        0.06%
星      U+0661F           1850        0.06%
憐      U+06190           1849        0.06%
傳      U+050B3           1843        0.06%
愛      U+0611B           1841        0.06%
詠      U+08A60           1830        0.06%
齊      U+09F4A           1828        0.06%
淚      U+06DDA           1822        0.06%
群      U+07FA4           1822        0.06%
侍      U+04F8D           1814        0.06%
郊      U+090CA           1810        0.06%
虛      U+0865B           1808        0.06%
田      U+07530           1805        0.06%
帝      U+05E1D           1804        0.06%
數      U+06578           1801        0.06%
游      U+06E38           1801        0.06%
夫      U+0592B           1792        0.06%
寂      U+05BC2           1785        0.06%
聖      U+08056           1777        0.06%
許      U+08A31           1776        0.06%
昔      U+06614           1773        0.06%
會      U+06703           1771        0.06%
且      U+04E14           1769        0.06%
閣      U+095A3           1765        0.06%
雁      U+096C1           1760        0.06%
舞      U+0821E           1751        0.06%
句      U+053E5           1749        0.06%
只      U+053EA           1740        0.06%
令      U+04EE4           1738        0.06%
轉      U+08F49           1734        0.06%
堪      U+0582A           1733        0.06%
節      U+07BC0           1723        0.06%
洞      U+06D1E           1722        0.06%
散      U+06563           1719        0.06%
其      U+05176           1714        0.06%
恨      U+06068           1708        0.06%
武      U+06B66           1705        0.06%
軍      U+08ECD           1699        0.06%
往      U+05F80           1685        0.06%
謝      U+08B1D           1676        0.06%
窮      U+07AAE           1673        0.06%
親      U+089AA           1659        0.06%
疏      U+0758F           1654        0.06%
征      U+05F81           1651        0.06%
蘭      U+0862D           1638        0.06%
朱      U+06731           1630        0.06%
直      U+076F4           1626        0.06%
胡      U+080E1           1616        0.06%
說      U+08AAA           1609        0.06%
悠      U+060A0           1606        0.06%
涼      U+06DBC           1605        0.05%
亂      U+04E82           1601        0.05%
用      U+07528           1596        0.05%
始      U+059CB           1591        0.05%
感      U+0611F           1591        0.05%
度      U+05EA6           1586        0.05%
容      U+05BB9           1577        0.05%
桃      U+06843           1568        0.05%
洛      U+06D1B           1566        0.05%
火      U+0706B           1566        0.05%
信      U+04FE1           1560        0.05%
遲      U+09072           1558        0.05%
韋      U+097CB           1556        0.05%
覺      U+089BA           1555        0.05%
窗      U+07A97           1548        0.05%
韓      U+097D3           1546        0.05%
觀      U+089C0           1542        0.05%
待      U+05F85           1536        0.05%
賢      U+08CE2           1536        0.05%
足      U+08DB3           1536        0.05%
禦      U+079A6           1535        0.05%
手      U+0624B           1531        0.05%
燕      U+071D5           1531        0.05%
畫      U+0756B           1531        0.05%
傷      U+050B7           1522        0.05%
霞      U+0971E           1518        0.05%
宴      U+05BB4           1510        0.05%
勝      U+052DD           1507        0.05%
晴      U+06674           1507        0.05%
死      U+06B7B           1507        0.05%
喜      U+0559C           1506        0.05%
學      U+05B78           1505        0.05%
功      U+0529F           1504        0.05%
琴      U+07434           1504        0.05%
劍      U+0528D           1502        0.05%
皆      U+07686           1499        0.05%
暗      U+06697           1493        0.05%
酬      U+0916C           1478        0.05%
移      U+079FB           1471        0.05%
顧      U+09867           1467        0.05%
即      U+05373           1466        0.05%
雖      U+096D6           1466        0.05%
步      U+06B65           1461        0.05%
陳      U+09673           1457        0.05%
及      U+053CA           1445        0.05%
帶      U+05E36           1444        0.05%
崔      U+05D14           1441        0.05%
識      U+08B58           1441        0.05%
珠      U+073E0           1439        0.05%
立      U+07ACB           1439        0.05%
結      U+07D50           1439        0.05%
塞      U+0585E           1437        0.05%
岩      U+05CA9           1436        0.05%
顏      U+0984F           1436        0.05%
羽      U+07FBD           1435        0.05%
逐      U+09010           1423        0.05%
周      U+05468           1422        0.05%
都      U+090FD           1420        0.05%
卿      U+0537F           1418        0.05%
臥      U+081E5           1415        0.05%
幹      U+05E79           1414        0.05%
願      U+09858           1406        0.05%
徒      U+05F92           1404        0.05%
歡      U+06B61           1404        0.05%
岸      U+05CB8           1401        0.05%
食      U+098DF           1395        0.05%
桂      U+06842           1389        0.05%
兒      U+05152           1383        0.05%
命      U+0547D           1382        0.05%
廟      U+05EDF           1377        0.05%
斜      U+0659C           1375        0.05%
司      U+053F8           1368        0.05%
隔      U+09694           1360        0.05%
友      U+053CB           1359        0.05%
含      U+0542B           1358        0.05%
夏      U+0590F           1353        0.05%
鏡      U+093E1           1346        0.05%
京      U+04EAC           1343        0.05%
繞      U+07E5E           1343        0.05%
橫      U+06A6B           1329        0.05%
遺      U+0907A           1327        0.05%
解      U+089E3           1322        0.05%
湘      U+06E58           1318        0.05%
殿      U+06BBF           1317        0.05%
棲      U+068F2           1316        0.05%
孟      U+05B5F           1314        0.05%
倚      U+0501A           1312        0.04%
盧      U+076E7           1308        0.04%
禪      U+079AA           1303        0.04%
己      U+05DF1           1299        0.04%
絲      U+07D72           1298        0.04%
憂      U+06182           1295        0.04%
浪      U+06D6A           1295        0.04%
雜      U+096DC           1295        0.04%
兵      U+05175           1290        0.04%
美      U+07F8E           1288        0.04%
化      U+05316           1284        0.04%
玄      U+07384           1283        0.04%
舍      U+0820D           1283        0.04%
乘      U+04E58           1282        0.04%
於      U+065BC           1282        0.04%
杯      U+0676F           1282        0.04%
諸      U+08AF8           1281        0.04%
貴      U+08CB4           1276        0.04%
荒      U+08352           1272        0.04%
陸      U+09678           1269        0.04%
定      U+05B9A           1264        0.04%
跡      U+08DE1           1264        0.04%
交      U+04EA4           1263        0.04%
