Char   Codepoint     Frequency   Percentage
袖      U+08896             44        0.07%
鸟      U+09E1F             44        0.07%
将      U+05C06             43        0.07%
州      U+05DDE             43        0.07%
淡      U+06DE1             43        0.07%
照      U+07167             43        0.07%
纱      U+07EB1             43        0.07%
结      U+07ED3             43        0.07%
肠      U+080A0             43        0.07%
陵      U+09675             43        0.07%
首      U+09996             43        0.07%
鼓      U+09F13             43        0.07%
龙      U+09F99             43        0.07%
四      U+056DB             42        0.07%
客      U+05BA2             42        0.07%
手      U+0624B             42        0.07%
景      U+0666F             42        0.07%
欢      U+06B22             42        0.07%
泛      U+06CDB             42        0.07%
蛾      U+086FE             42        0.07%
度      U+05EA6             41        0.07%
木      U+06728             41        0.07%
犹      U+072B9             41        0.07%
赋      U+08D4B             41        0.07%
阁      U+09601             41        0.07%
院      U+09662             41        0.07%
五      U+04E94             40        0.07%
大      U+05927             40        0.07%
教      U+06559             40        0.07%
栏      U+0680F             40        0.07%
烛      U+070DB             40        0.07%
着      U+07740             40        0.07%
睡      U+07761             40        0.07%
莲      U+083B2             40        0.07%
觉      U+089C9             40        0.07%
随      U+0968F             40        0.07%
飘      U+098D8             40        0.07%
九      U+04E5D             39        0.07%
佩      U+04F69             39        0.07%
刘      U+05218             39        0.07%
帐      U+05E10             39        0.07%
晴      U+06674             39        0.07%
条      U+06761             39        0.07%
林      U+06797             39        0.07%
洞      U+06D1E             39        0.07%
眼      U+0773C             39        0.07%
种      U+079CD             39        0.07%
蝉      U+08749             39        0.07%
髻      U+09AFB             39        0.07%
器      U+05668             38        0.06%
字      U+05B57             38        0.06%
岸      U+05CB8             38        0.06%
帷      U+05E37             38        0.06%
惆      U+060C6             38        0.06%
想      U+060F3             38        0.06%
拂      U+062C2             38        0.06%
散      U+06563             38        0.06%
灯      U+0706F             38        0.06%
裙      U+088D9             38        0.06%
解      U+089E3             38        0.06%
车      U+08F66             38        0.06%
阶      U+09636             38        0.06%
未      U+0672A             37        0.06%
浦      U+06D66             37        0.06%
珣      U+073E3             37        0.06%
看      U+0770B             37        0.06%
砌      U+0780C             37        0.06%
胜      U+080DC             37        0.06%
闺      U+095FA             37        0.06%
静      U+09759             37        0.06%
鬟      U+09B1F             37        0.06%
鸾      U+09E3E             37        0.06%
京      U+04EAC             36        0.06%
数      U+06570             36        0.06%
桥      U+06865             36        0.06%
浓      U+06D53             36        0.06%
身      U+08EAB             36        0.06%
颜      U+0989C             36        0.06%
从      U+04ECE             35        0.06%
凭      U+051ED             35        0.06%
均      U+05747             35        0.06%
塞      U+0585E             35        0.06%
