Char   Codepoint     Frequency   Percentage
因      U+056E0             14        0.07%
固      U+056FA             14        0.07%
妻      U+059BB             14        0.07%
婢      U+05A62             14        0.07%
庸      U+05EB8             14        0.07%
星      U+0661F             14        0.07%
烟      U+070DF             14        0.07%
理      U+07406             14        0.07%
甚      U+0751A             14        0.07%
蝶      U+08776             14        0.07%
遇      U+09047             14        0.07%
马      U+09A6C             14        0.07%
主      U+04E3B             13        0.06%
到      U+05230             13        0.06%
原      U+0539F             13        0.06%
只      U+053EA             13        0.06%
右      U+053F3             13        0.06%
合      U+05408             13        0.06%
妇      U+05987             13        0.06%
妾      U+059BE             13        0.06%
并      U+05E76             13        0.06%
德      U+05FB7             13        0.06%
教      U+06559             13        0.06%
每      U+06BCF             13        0.06%
界      U+0754C             13        0.06%
累      U+07D2F             13        0.06%
虫      U+0866B             13        0.06%
西      U+0897F             13        0.06%
许      U+08BB8             13        0.06%
豪      U+08C6A             13        0.06%
镜      U+0955C             13        0.06%
两      U+04E24             12        0.06%
体      U+04F53             12        0.06%
俱      U+04FF1             12        0.06%
化      U+05316             12        0.06%
及      U+053CA             12        0.06%
尚      U+05C1A             12        0.06%
庞      U+05E9E             12        0.06%
异      U+05F02             12        0.06%
慧      U+06167             12        0.06%
昔      U+06614             12        0.06%
殊      U+06B8A             12        0.06%
氏      U+06C0F             12        0.06%
淡      U+06DE1             12        0.06%
犹      U+072B9             12        0.06%
穷      U+07A77             12        0.06%
红      U+07EA2             12        0.06%
臭      U+081ED             12        0.06%
致      U+081F4             12        0.06%
草      U+08349             12        0.06%
行      U+0884C             12        0.06%
且      U+04E14             11        0.05%
修      U+04FEE             11        0.05%
偶      U+05076             11        0.05%
元      U+05143             11        0.05%
厌      U+0538C             11        0.05%
命      U+0547D             11        0.05%
夜      U+0591C             11        0.05%
应      U+05E94             11        0.05%
忍      U+05FCD             11        0.05%
快      U+05FEB             11        0.05%
手      U+0624B             11        0.05%
柳      U+067F3             11        0.05%
池      U+06C60             11        0.05%
海      U+06D77             11        0.05%
腐      U+08150             11        0.05%
莲      U+083B2             11        0.05%
薄      U+08584             11        0.05%
虞      U+0865E             11        0.05%
袁      U+08881             11        0.05%
谈      U+08C08             11        0.05%
集      U+096C6             11        0.05%
青      U+09752             11        0.05%
黑      U+09ED1             11        0.05%
七      U+04E03             10        0.05%
丹      U+04E39             10        0.05%
亭      U+04EAD             10        0.05%
代      U+04EE3             10        0.05%
会      U+04F1A             10        0.05%
免      U+0514D             10        0.05%
却      U+05374             10        0.05%
唐      U+05510             10        0.05%
官      U+05B98             10        0.05%
工      U+05DE5             10        0.05%
感      U+0611F             10        0.05%
打      U+06253             10        0.05%
果      U+0679C             10        0.05%
毕      U+06BD5             10        0.05%
牛      U+0725B             10        0.05%
绝      U+07EDD             10        0.05%
臣      U+081E3             10        0.05%
节      U+08282             10        0.05%
解      U+089E3             10        0.05%
计      U+08BA1             10        0.05%
调      U+08C03             10        0.05%
趣      U+08DA3             10        0.05%
迂      U+08FC2             10        0.05%
问      U+095EE             10        0.05%
久      U+04E45              9        0.04%
众      U+04F17              9        0.04%
僧      U+050E7              9        0.04%
冒      U+05192              9        0.04%
分      U+05206              9        0.04%
口      U+053E3              9        0.04%
和      U+0548C              9        0.04%
城      U+057CE              9        0.04%
备      U+05907              9        0.04%
奈      U+05948              9        0.04%
始      U+059CB              9        0.04%
客      U+05BA2              9        0.04%
宫      U+05BAB              9        0.04%
岂      U+05C82              9        0.04%
康      U+05EB7              9        0.04%
往      U+05F80              9        0.04%
忘      U+05FD8              9        0.04%
恭      U+0606D              9        0.04%
惜      U+060DC              9        0.04%
新      U+065B0              9        0.04%
机      U+0673A              9        0.04%
畴      U+07574              9        0.04%
砚      U+0781A              9        0.04%
破      U+07834              9        0.04%
秦      U+079E6              9        0.04%
称      U+079F0              9        0.04%
空      U+07A7A              9        0.04%
落      U+0843D              9        0.04%
藏      U+085CF              9        0.04%
讲      U+08BB2              9        0.04%
词      U+08BCD              9        0.04%
谨      U+08C28              9        0.04%
都      U+090FD              9        0.04%
隐      U+09690              9        0.04%
雅      U+096C5              9        0.04%
鱼      U+09C7C              9        0.04%
从      U+04ECE              8        0.04%
他      U+04ED6              8        0.04%
供      U+04F9B              8        0.04%
俗      U+04FD7              8        0.04%
傲      U+050B2              8        0.04%
兄      U+05144              8        0.04%
光      U+05149              8        0.04%
公      U+0516C              8        0.04%
