Char   Codepoint     Frequency   Percentage
碧      U+078A7          14770        0.07%
窮      U+07AAE          14726        0.07%
照      U+07167          14722        0.07%
且      U+04E14          14647        0.07%
浮      U+06D6E          14550        0.07%
裏      U+088CF          14538        0.07%
令      U+04EE4          14488        0.07%
忽      U+05FFD          14434        0.07%
苦      U+082E6          14389        0.06%
露      U+09732          14370        0.06%
鳥      U+09CE5          14366        0.06%
魚      U+09B5A          14363        0.06%
符      U+07B26          14342        0.06%
近      U+08FD1          14284        0.06%
曲      U+066F2          14282        0.06%
直      U+076F4          14282        0.06%
靈      U+09748          14255        0.06%
輕      U+08F15          14254        0.06%
蘇      U+08607          14240        0.06%
影      U+05F71          14228        0.06%
漢      U+06F22          14205        0.06%
休      U+04F11          14142        0.06%
川      U+05DDD          14135        0.06%
立      U+07ACB          14096        0.06%
波      U+06CE2          14077        0.06%
綠      U+07DA0          14047        0.06%
節      U+07BC0          14041        0.06%
謝      U+08B1D          13959        0.06%
寧      U+05BE7          13922        0.06%
畫      U+0756B          13866        0.06%
關      U+095DC          13832        0.06%
唐      U+05510          13825        0.06%
僧      U+050E7          13818        0.06%
往      U+05F80          13814        0.06%
池      U+06C60          13804        0.06%
鄉      U+09109          13784        0.06%
暮      U+066AE          13720        0.06%
翠      U+07FE0          13669        0.06%
丹      U+04E39          13653        0.06%
紫      U+07D2B          13615        0.06%
贈      U+08D08          13563        0.06%
主      U+04E3B          13540        0.06%
斷      U+065B7          13506        0.06%
巖      U+05DD6          13492        0.06%
功      U+0529F          13463        0.06%
要      U+08981          13447        0.06%
離      U+096E2          13390        0.06%
賦      U+08CE6          13389        0.06%
窗      U+07A97          13387        0.06%
辭      U+08FAD          13378        0.06%
吹      U+05439          13354        0.06%
雙      U+096D9          13353        0.06%
諸      U+08AF8          13278        0.06%
識      U+08B58          13251        0.06%
頌      U+0980C          13235        0.06%
朱      U+06731          13209        0.06%
賢      U+08CE2          13155        0.06%
蒼      U+084BC          13147        0.06%
聽      U+0807D          13110        0.06%
車      U+08ECA          13089        0.06%
遺      U+0907A          13019        0.06%
雖      U+096D6          12970        0.06%
史      U+053F2          12962        0.06%
轉      U+08F49          12944        0.06%
曉      U+066C9          12931        0.06%
孫      U+05B6B          12880        0.06%
蕭      U+0856D          12839        0.06%
鳴      U+09CF4          12833        0.06%
連      U+09023          12793        0.06%
動      U+052D5          12782        0.06%
合      U+05408          12780        0.06%
便      U+04FBF          12721        0.06%
期      U+0671F          12711        0.06%
昔      U+06614          12705        0.06%
靜      U+0975C          12679        0.06%
信      U+04FE1          12665        0.06%
愛      U+0611B          12658        0.06%
閣      U+095A3          12627        0.06%
第      U+07B2C          12572        0.06%
端      U+07AEF          12543        0.06%
仲      U+04EF2          12533        0.06%
陵      U+09675          12489        0.06%
虛      U+0865B          12464        0.06%
芳      U+082B3          12443        0.06%
及      U+053CA          12400        0.06%
晴      U+06674          12341        0.06%
殘      U+06B98          12329        0.06%
府      U+05E9C          12320        0.06%
錄      U+09304          12317        0.06%
依      U+04F9D          12289        0.06%
宿      U+05BBF          12266        0.06%
發      U+0767C          12245        0.06%
解      U+089E3          12236        0.06%
即      U+05373          12174        0.05%
才      U+0624D          12145        0.05%
鶴      U+09DB4          12138        0.05%
求      U+06C42          12133        0.05%
皇      U+07687          12094        0.05%
聖      U+08056          12089        0.05%
感      U+0611F          12076        0.05%
惟      U+060DF          12002        0.05%
胡      U+080E1          11987        0.05%
死      U+06B7B          11964        0.05%
燈      U+071C8          11950        0.05%
全      U+05168          11891        0.05%
星      U+0661F          11891        0.05%
早      U+065E9          11883        0.05%
峰      U+05CF0          11878        0.05%
皆      U+07686          11851        0.05%
圖      U+05716          11847        0.05%
都      U+090FD          11819        0.05%
詠      U+08A60          11807        0.05%
度      U+05EA6          11782        0.05%
但      U+04F46          11777        0.05%
臣      U+081E3          11742        0.05%
飲      U+098F2          11742        0.05%
論      U+08AD6          11716        0.05%
親      U+089AA          11673        0.05%
洞      U+06D1E          11601        0.05%
忘      U+05FD8          11479        0.05%
筆      U+07B46          11476        0.05%
沙      U+06C99          11475        0.05%
力      U+0529B          11449        0.05%
食      U+098DF          11447        0.05%
民      U+06C11          11428        0.05%
載      U+08F09          11405        0.05%
京      U+04EAC          11375        0.05%
堪      U+0582A          11297        0.05%
法      U+06CD5          11240        0.05%
憐      U+06190          11229        0.05%
化      U+05316          11205        0.05%
夕      U+05915          11187        0.05%
面      U+09762          11112        0.05%
口      U+053E3          11041        0.05%
守      U+05B88          11003        0.05%
藏      U+085CF          11003        0.05%
詞      U+08A5E          10948        0.05%
帝      U+05E1D          10944        0.05%
禪      U+079AA          10868        0.05%
火      U+0706B          10840        0.05%
垂      U+05782          10832        0.05%
韓      U+097D3          10821        0.05%
收      U+06536          10784        0.05%
目      U+076EE          10708        0.05%
待      U+05F85          10703        0.05%
憶      U+061B6          10605        0.05%
号      U+053F7          10560        0.05%
武      U+06B66          10464        0.05%
友      U+053CB          10454        0.05%
雜      U+096DC          10449        0.05%
憂      U+06182          10445        0.05%
徐      U+05F90          10443        0.05%
步      U+06B65          10346        0.05%
散      U+06563          10338        0.05%
俗      U+04FD7          10335        0.05%
縣      U+07E23          10277        0.05%
烟      U+070DF          10244        0.05%
悲      U+060B2          10223        0.05%
奇      U+05947          10188        0.05%
寂      U+05BC2          10155        0.05%
良      U+0826F          10136        0.05%
爾      U+0723E          10133        0.05%
英      U+082F1          10120        0.05%
伯      U+04F2F          10080        0.05%
屋      U+05C4B          10013        0.05%
異      U+07570          10010        0.05%
韵      U+097F5           9985        0.04%
云      U+04E91           9980        0.04%
寶      U+05BF6           9971        0.04%
女      U+05973           9942        0.04%
羅      U+07F85           9921        0.04%
舉      U+08209           9911        0.04%
桃      U+06843           9904        0.04%
乃      U+04E43           9902        0.04%
齋      U+09F4B           9888        0.04%
始      U+059CB           9884        0.04%
破      U+07834           9857        0.04%
橫      U+06A6B           9838        0.04%
也      U+04E5F           9801        0.04%
教      U+06559           9799        0.04%
交      U+04EA4           9798        0.04%
恨      U+06068           9777        0.04%
佳      U+04F73           9749        0.04%
紛      U+07D1B           9709        0.04%
嘉      U+05609           9693        0.04%
念      U+05FF5           9680        0.04%
舍      U+0820D           9664        0.04%
閒      U+09592           9636        0.04%
宜      U+05B9C           9607        0.04%
必      U+05FC5           9600        0.04%
再      U+0518D           9561        0.04%
楚      U+0695A           9544        0.04%
村      U+06751           9512        0.04%
軒      U+08ED2           9469        0.04%
燕      U+071D5           9467        0.04%
軍      U+08ECD           9450        0.04%
壁      U+058C1           9397        0.04%
理      U+07406           9392        0.04%
取      U+053D6           9374        0.04%
奉      U+05949           9373        0.04%
參      U+053C3           9368        0.04%
杜      U+0675C           9321        0.04%
倚      U+0501A           9310        0.04%
浪      U+06D6A           9295        0.04%
願      U+09858           9221        0.04%
記      U+08A18           9206        0.04%
原      U+0539F           9200        0.04%
讀      U+08B80           9200        0.04%
聊      U+0804A           9198        0.04%
移      U+079FB           9182        0.04%
錢      U+09322           9147        0.04%
進      U+09032           9120        0.04%
兵      U+05175           9105        0.04%
亂      U+04E82           9028        0.04%
美      U+07F8E           8980        0.04%
爭      U+0722D           8958        0.04%
永      U+06C38           8952        0.04%
細      U+07D30           8908        0.04%
偈      U+05048           8904        0.04%
壽      U+058FD           8887        0.04%
妙      U+05999           8874        0.04%
侍      U+04F8D           8860        0.04%
鳳      U+09CF3           8849        0.04%
卿      U+0537F           8832        0.04%
修      U+04FEE           8831        0.04%
祖      U+07956           8805        0.04%
珠      U+073E0           8802        0.04%
冷      U+051B7           8795        0.04%
乘      U+04E58           8761        0.04%
荒      U+08352           8732        0.04%
牛      U+0725B           8686        0.04%
挽      U+0633D           8617        0.04%
偶      U+05076           8615        0.04%
引      U+05F15           8595        0.04%
顧      U+09867           8581        0.04%
底      U+05E95           8576        0.04%
羣      U+07FA3           8573        0.04%
貴      U+08CB4           8565        0.04%
種      U+07A2E           8564        0.04%
冰      U+051B0           8562        0.04%
了      U+04E86           8560        0.04%
音      U+097F3           8549        0.04%
舞      U+0821E           8547        0.04%
谷      U+08C37           8517        0.04%
父      U+07236           8489        0.04%
船      U+08239           8478        0.04%
想      U+060F3           8458        0.04%
他      U+04ED6           8429        0.04%
莊      U+0838A           8423        0.04%
緣      U+07DE3           8420        0.04%
蘭      U+0862D           8414        0.04%
司      U+053F8           8413        0.04%
敢      U+06562           8412        0.04%
冠      U+051A0           8403        0.04%
命      U+0547D           8376        0.04%
廟      U+05EDF           8311        0.04%
鼓      U+09F13           8310        0.04%
結      U+07D50           8297        0.04%
簡      U+07C21           8293        0.04%
侯      U+04FAF           8286        0.04%
秀      U+079C0           8264        0.04%
遲      U+09072           8258        0.04%
機      U+06A5F           8230        0.04%
悠      U+060A0           8184        0.04%
郊      U+090CA           8177        0.04%
土      U+0571F           8161        0.04%
持      U+06301           8136        0.04%
仁      U+04EC1           8133        0.04%
薄      U+08584           8131        0.04%
乾      U+04E7E           8119        0.04%
汝      U+06C5D           8089        0.04%
疏      U+0758F           8082        0.04%
隠      U+096A0           8074        0.04%
隔      U+09694           8073        0.04%
建      U+05EFA           8072        0.04%
秦      U+079E6           8052        0.04%
由      U+07531           8043        0.04%
肯      U+080AF           8036        0.04%
精      U+07CBE           8032        0.04%
錦      U+09326           8024        0.04%
杯      U+0676F           8022        0.04%
屬      U+05C6C           8018        0.04%
洪      U+06D2A           8004        0.04%
齊      U+09F4A           7997        0.04%
恩      U+06069           7991        0.04%
氏      U+06C0F           7991        0.04%
骨      U+09AA8           7991        0.04%
夏      U+0590F           7986        0.04%
徑      U+05F91           7966        0.04%
顔      U+09854           7952        0.04%
點      U+09EDE           7946        0.04%
虎      U+0864E           7935        0.04%
極      U+06975           7922        0.04%
試      U+08A66           7897        0.04%
廣      U+05EE3           7872        0.04%
尺      U+05C3A           7859        0.04%
失      U+05931           7850        0.04%
斜      U+0659C           7837        0.04%
曹      U+066F9           7833        0.04%
放      U+0653E           7820        0.04%
那      U+090A3           7791        0.04%
橋      U+06A4B           7789        0.04%
勞      U+052DE           7781        0.04%
報      U+05831           7780        0.04%
衰      U+08870           7776        0.04%
嗟      U+055DF           7774        0.04%
根      U+06839           7771        0.04%
住      U+04F4F           7729        0.03%
息      U+0606F           7718        0.03%
院      U+09662           7710        0.03%
髮      U+09AEE           7706        0.03%
徒      U+05F92           7688        0.03%
翻      U+07FFB           7687        0.03%
室      U+05BA4           7635        0.03%
沈      U+06C88           7626        0.03%
任      U+04EFB           7606        0.03%
義      U+07FA9           7597        0.03%
桂      U+06842           7596        0.03%
俱      U+04FF1           7592        0.03%
政      U+0653F           7567        0.03%
指      U+06307           7526        0.03%
殿      U+06BBF           7511        0.03%
凉      U+051C9           7440        0.03%
斗      U+06597           7434        0.03%
惜      U+060DC           7421        0.03%
絲      U+07D72           7409        0.03%
斯      U+065AF           7401        0.03%
霞      U+0971E           7384        0.03%
鄭      U+0912D           7381        0.03%
戶      U+06236           7362        0.03%
于      U+04E8E           7349        0.03%
廬      U+05EEC           7340        0.03%
盤      U+076E4           7323        0.03%
藥      U+085E5           7306        0.03%
甘      U+07518           7303        0.03%
漫      U+06F2B           7285        0.03%
弟      U+05F1F           7267        0.03%
呼      U+0547C           7266        0.03%
素      U+07D20           7221        0.03%
稱      U+07A31           7211        0.03%
篇      U+07BC7           7195        0.03%
眠      U+07720           7187        0.03%
梁      U+06881           7178        0.03%
折      U+06298           7174        0.03%
傾      U+050BE           7173        0.03%
談      U+08AC7           7169        0.03%
程      U+07A0B           7166        0.03%
貧      U+08CA7           7159        0.03%
佛      U+04F5B           7134        0.03%
蓬      U+084EC           7134        0.03%
把      U+0628A           7117        0.03%
禮      U+079AE           7117        0.03%
叔      U+053D4           7111        0.03%
兼      U+0517C           7102        0.03%
郭      U+090ED           7102        0.03%
暗      U+06697           7090        0.03%
琴      U+07434           7082        0.03%
恐      U+06050           7060        0.03%
飄      U+098C4           7044        0.03%
號      U+0865F           7033        0.03%
鄰      U+09130           6998        0.03%
傷      U+050B7           6991        0.03%
御      U+05FA1           6990        0.03%
丘      U+04E18           6975        0.03%
玄      U+07384           6968        0.03%
浩      U+06D69           6955        0.03%
岸      U+05CB8           6951        0.03%
走      U+08D70           6935        0.03%
戲      U+06232           6932        0.03%
實      U+05BE6           6927        0.03%
榮      U+069AE           6922        0.03%
急      U+06025           6919        0.03%
短      U+077ED           6910        0.03%
隱      U+096B1           6880        0.03%
封      U+05C01           6878        0.03%
最      U+06700           6870        0.03%
酬      U+0916C           6867        0.03%
追      U+08FFD           6866        0.03%
菊      U+083CA           6841        0.03%
或      U+06216           6838        0.03%
計      U+08A08           6833        0.03%
除      U+09664           6824        0.03%
謂      U+08B02           6822        0.03%
味      U+05473           6819        0.03%
尊      U+05C0A           6815        0.03%
昏      U+0660F           6805        0.03%
造      U+09020           6804        0.03%
淚      U+06DDA           6800        0.03%
變      U+08B8A           6776        0.03%
福      U+0798F           6767        0.03%
衆      U+08846           6752        0.03%
代      U+04EE3           6751        0.03%
訪      U+08A2A           6742        0.03%
嶺      U+05DBA           6730        0.03%
逐      U+09010           6704        0.03%
歡      U+06B61           6695        0.03%
堯      U+0582F           6682        0.03%
迎      U+08FCE           6678        0.03%
羽      U+07FBD           6665        0.03%
祥      U+07965           6664        0.03%
甫      U+0752B           6659        0.03%
卧      U+05367           6655        0.03%
鬢      U+09B22           6631        0.03%
幸      U+05E78           6607        0.03%
枕      U+06795           6586        0.03%
嘗      U+05617           6560        0.03%
擬      U+064EC           6522        0.03%
耳      U+08033           6514        0.03%
雁      U+096C1           6514        0.03%
市      U+05E02           6513        0.03%
郡      U+090E1           6487        0.03%
嚴      U+056B4           6466        0.03%
源      U+06E90           6457        0.03%
致      U+081F4           6448        0.03%
陶      U+09676           6445        0.03%
投      U+06295           6434        0.03%
既      U+065E2           6428        0.03%
業      U+0696D           6413        0.03%
騎      U+09A0E           6406        0.03%
予      U+04E88           6400        0.03%
吏      U+0540F           6389        0.03%
歷      U+06B77           6376        0.03%
形      U+05F62           6354        0.03%
哉      U+054C9           6347        0.03%
比      U+06BD4           6347        0.03%
带      U+05E26           6343        0.03%
漁      U+06F01           6342        0.03%
負      U+08CA0           6330        0.03%
澤      U+06FA4           6327        0.03%
遇      U+09047           6325        0.03%
內      U+05167           6318        0.03%
鴻      U+09D3B           6316        0.03%
雷      U+096F7           6310        0.03%
仍      U+04ECD           6300        0.03%
慶      U+06176           6294        0.03%
眉      U+07709           6294        0.03%
殊      U+06B8A           6293        0.03%
淮      U+06DEE           6261        0.03%
角      U+089D2           6258        0.03%
毛      U+06BDB           6251        0.03%
消      U+06D88           6251        0.03%
密      U+05BC6           6231        0.03%
善      U+05584           6212        0.03%
兄      U+05144           6203        0.03%
呈      U+05448           6191        0.03%
丈      U+04E08           6172        0.03%
盛      U+076DB           6143        0.03%
泥      U+06CE5           6138        0.03%
招      U+062DB           6126        0.03%
洗      U+06D17           6116        0.03%
鏡      U+093E1           6114        0.03%
頻      U+0983B           6102        0.03%
部      U+090E8           6083        0.03%
約      U+07D04           6071        0.03%
危      U+05371           6070        0.03%
止      U+06B62           6069        0.03%
墨      U+058A8           6068        0.03%
宣      U+05BA3           6063        0.03%
雄      U+096C4           6063        0.03%
象      U+08C61           6061        0.03%
富      U+05BCC           6054        0.03%
印      U+05370           6053        0.03%
固      U+056FA           6049        0.03%
岳      U+05CB3           6048        0.03%
范      U+08303           6048        0.03%
黃      U+09EC3           6028        0.03%
克      U+0514B           6023        0.03%
越      U+08D8A           5997        0.03%
杖      U+06756           5996        0.03%
湘      U+06E58           5996        0.03%
烏      U+070CF           5993        0.03%
性      U+06027           5975        0.03%
釣      U+091E3           5960        0.03%
鼎      U+09F0E           5958        0.03%
編      U+07DE8           5953        0.03%
茅      U+08305           5953        0.03%
惠      U+060E0           5950        0.03%
適      U+09069           5938        0.03%
豐      U+08C50           5931        0.03%
枯      U+067AF           5922        0.03%
接      U+063A5           5918        0.03%
工      U+05DE5           5887        0.03%
狂      U+072C2           5880        0.03%
補      U+088DC           5861        0.03%
抱      U+062B1           5836        0.03%
占      U+05360           5834        0.03%
借      U+0501F           5815        0.03%
傍      U+0508D           5815        0.03%
倒      U+05012           5803        0.03%
遂      U+09042           5768        0.03%
甚      U+0751A           5728        0.03%
低      U+04F4E           5713        0.03%
淵      U+06DF5           5705        0.03%
井      U+04E95           5702        0.03%
堅      U+05805           5702        0.03%
啼      U+0557C           5694        0.03%
童      U+07AE5           5694        0.03%
罷      U+07F77           5693        0.03%
積      U+07A4D           5692        0.03%
蓋      U+084CB           5689        0.03%
賞      U+08CDE           5679        0.03%
闕      U+095D5           5674        0.03%
呂      U+05442           5671        0.03%
冬      U+051AC           5664        0.03%
圓      U+05713           5661        0.03%
茶      U+08336           5658        0.03%
伴      U+04F34           5657        0.03%
各      U+05404           5652        0.03%
推      U+063A8           5643        0.03%
洛      U+06D1B           5643        0.03%
