Char   Codepoint     Frequency   Percentage
屏      U+05C4F           1741        0.05%
美      U+07F8E           1738        0.05%
瑞      U+0745E           1733        0.05%
功      U+0529F           1729        0.05%
阁      U+09601           1727        0.05%
减      U+051CF           1723        0.05%
太      U+0592A           1713        0.05%
绝      U+07EDD           1713        0.05%
物      U+07269           1708        0.05%
六      U+0516D           1706        0.05%
昏      U+0660F           1706        0.05%
盈      U+076C8           1694        0.05%
苦      U+082E6           1686        0.05%
任      U+04EFB           1678        0.05%
烛      U+070DB           1678        0.05%
收      U+06536           1673        0.05%
引      U+05F15           1668        0.05%
闻      U+095FB           1656        0.05%
隔      U+09694           1652        0.05%
睡      U+07761           1647        0.05%
言      U+08A00           1644        0.05%
蛮      U+086EE           1631        0.05%
立      U+07ACB           1624        0.05%
艳      U+08273           1624        0.05%
怜      U+0601C           1623        0.05%
尚      U+05C1A           1620        0.05%
放      U+0653E           1617        0.05%
苏      U+082CF           1615        0.05%
叹      U+053F9           1614        0.05%
雾      U+096FE           1614        0.05%
修      U+04FEE           1612        0.05%
女      U+05973           1608        0.05%
折      U+06298           1607        0.05%
颜      U+0989C           1604        0.05%
易      U+06613           1602        0.05%
映      U+06620           1601        0.05%
片      U+07247           1601        0.05%
觞      U+089DE           1595        0.05%
甚      U+0751A           1588        0.05%
翻      U+07FFB           1583        0.05%
夕      U+05915           1577        0.05%
恋      U+0604B           1576        0.05%
鸪      U+09E2A           1574        0.05%
鹧      U+09E67           1570        0.05%
爱      U+07231           1567        0.05%
久      U+04E45           1565        0.05%
孙      U+05B59           1565        0.05%
饮      U+0996E           1565        0.05%
汉      U+06C49           1561        0.05%
桂      U+06842           1560        0.05%
宵      U+05BB5           1547        0.05%
船      U+08239           1546        0.05%
登      U+0767B           1543        0.05%
鸿      U+09E3F           1540        0.05%
常      U+05E38           1532        0.05%
目      U+076EE           1530        0.05%
辰      U+08FB0           1523        0.05%
付      U+04ED8           1512        0.05%
角      U+089D2           1512        0.05%
绛      U+07EDB           1508        0.05%
摇      U+06447           1507        0.05%
短      U+077ED           1502        0.05%
遥      U+09065           1499        0.05%
宴      U+05BB4           1494        0.05%
结      U+07ED3           1494        0.05%
谢      U+08C22           1492        0.05%
指      U+06307           1491        0.05%
缕      U+07F15           1487        0.05%
唤      U+05524           1486        0.05%
寂      U+05BC2           1481        0.05%
苍      U+082CD           1480        0.05%
匆      U+05306           1478        0.05%
辛      U+08F9B           1477        0.05%
主      U+04E3B           1472        0.05%
使      U+04F7F           1471        0.05%
壶      U+058F6           1464        0.05%
