Char   Codepoint     Frequency   Percentage
蟾      U+087FE             26        0.06%
鶒      U+09D92             26        0.06%
鸂      U+09E02             26        0.06%
鼓      U+09F13             26        0.06%
使      U+04F7F             25        0.06%
四      U+056DB             25        0.06%
因      U+056E0             25        0.06%
园      U+056ED             25        0.06%
字      U+05B57             25        0.06%
宋      U+05B8B             25        0.06%
慵      U+06175             25        0.06%
散      U+06563             25        0.06%
泛      U+06CDB             25        0.06%
眼      U+0773C             25        0.06%
稀      U+07A00             25        0.06%
连      U+08FDE             25        0.06%
陰      U+09670             25        0.06%
于      U+04E8E             24        0.06%
却      U+05374             24        0.06%
只      U+053EA             24        0.06%
坛      U+0575B             24        0.06%
堤      U+05824             24        0.06%
娥      U+05A25             24        0.06%
簪      U+07C2A             24        0.06%
羞      U+07F9E             24        0.06%
送      U+09001             24        0.06%
采      U+091C7             24        0.06%
飘      U+098D8             24        0.06%
交      U+04EA4             23        0.05%
京      U+04EAC             23        0.05%
休      U+04F11             23        0.05%
偏      U+0504F             23        0.05%
塞      U+0585E             23        0.05%
娘      U+05A18             23        0.05%
征      U+05F81             23        0.05%
战      U+06218             23        0.05%
早      U+065E9             23        0.05%
洛      U+06D1B             23        0.05%
绮      U+07EEE             23        0.05%
羽      U+07FBD             23        0.05%
藕      U+085D5             23        0.05%
闻      U+095FB             23        0.05%
阮      U+0962E             23        0.05%
雾      U+096FE             23        0.05%
魏      U+09B4F             23        0.05%
丛      U+04E1B             22        0.05%
伤      U+04F24             22        0.05%
到      U+05230             22        0.05%
匀      U+05300             22        0.05%
可      U+053EF             22        0.05%
引      U+05F15             22        0.05%
极      U+06781             22        0.05%
梁      U+06881             22        0.05%
海      U+06D77             22        0.05%
炯      U+070AF             22        0.05%
盘      U+076D8             22        0.05%
簟      U+07C1F             22        0.05%
线      U+07EBF             22        0.05%
虚      U+0865A             22        0.05%
鱼      U+09C7C             22        0.05%
倾      U+0503E             21        0.05%
化      U+05316             21        0.05%
向      U+05411             21        0.05%
大      U+05927             21        0.05%
宿      U+05BBF             21        0.05%
态      U+06001             21        0.05%
悄      U+06084             21        0.05%
房      U+0623F             21        0.05%
折      U+06298             21        0.05%
数      U+06570             21        0.05%
方      U+065B9             21        0.05%
松      U+0677E             21        0.05%
栏      U+0680F             21        0.05%
欹      U+06B39             21        0.05%
浅      U+06D45             21        0.05%
浪      U+06D6A             21        0.05%
牵      U+07275             21        0.05%
琼      U+0743C             21        0.05%
瑟      U+0745F             21        0.05%
瑶      U+07476             21        0.05%
终      U+07EC8             21        0.05%
衾      U+0887E             21        0.05%
身      U+08EAB             21        0.05%
迷      U+08FF7             21        0.05%
锁      U+09501             21        0.05%
集      U+096C6             21        0.05%
霜      U+0971C             21        0.05%
会      U+04F1A             20        0.05%
佳      U+04F73             20        0.05%
听      U+0542C             20        0.05%
坠      U+05760             20        0.05%
士      U+058EB             20        0.05%
弦      U+05F26             20        0.05%
息      U+0606F             20        0.05%
欧      U+06B27             20        0.05%
熏      U+0718F             20        0.05%
甘      U+07518             20        0.05%
痕      U+075D5             20        0.05%
筝      U+07B5D             20        0.05%
苑      U+082D1             20        0.05%
蕊      U+0854A             20        0.05%
调      U+08C03             20        0.05%
转      U+08F6C             20        0.05%
钟      U+0949F             20        0.05%
阶      U+09636             20        0.05%
随      U+0968F             20        0.05%
隐      U+09690             20        0.05%
么      U+04E48             19        0.04%
争      U+04E89             19        0.04%
伴      U+04F34             19        0.04%
偎      U+0504E             19        0.04%
公      U+0516C             19        0.04%
凭      U+051ED             19        0.04%
制      U+05236             19        0.04%
咽      U+054BD             19        0.04%
定      U+05B9A             19        0.04%
峰      U+05CF0             19        0.04%
当      U+05F53             19        0.04%
怜      U+0601C             19        0.04%
慢      U+06162             19        0.04%
晨      U+06668             19        0.04%
样      U+06837             19        0.04%
等      U+07B49             19        0.04%
织      U+07EC7             19        0.04%
莫      U+083AB             19        0.04%
蕴      U+08574             19        0.04%
薛      U+0859B             19        0.04%
近      U+08FD1             19        0.04%
那      U+090A3             19        0.04%
都      U+090FD             19        0.04%
陌      U+0964C             19        0.04%
隋      U+0968B             19        0.04%
雕      U+096D5             19        0.04%
靥      U+09765             19        0.04%
频      U+09891             19        0.04%
额      U+0989D             19        0.04%
丹      U+04E39             18        0.04%
宴      U+05BB4             18        0.04%
幕      U+05E55             18        0.04%
幽      U+05E7D             18        0.04%
庙      U+05E99             18        0.04%
承      U+0627F             18        0.04%
留      U+07559             18        0.04%
百      U+0767E             18        0.04%
着      U+07740             18        0.04%
第      U+07B2C             18        0.04%
紫      U+07D2B             18        0.04%
纵      U+07EB5             18        0.04%
绪      U+07EEA             18        0.04%
蕙      U+08559             18        0.04%
袂      U+08882             18        0.04%
被      U+088AB             18        0.04%
迢      U+08FE2             18        0.04%
遇      U+09047             18        0.04%
颜      U+0989C             18        0.04%
八      U+0516B             17        0.04%
共      U+05171             17        0.04%
凉      U+051C9             17        0.04%
凋      U+051CB             17        0.04%
县      U+053BF             17        0.04%
妃      U+05983             17        0.04%
妇      U+05987             17        0.04%
弄      U+05F04             17        0.04%
悠      U+060A0             17        0.04%
懒      U+061D2             17        0.04%
朱      U+06731             17        0.04%
梳      U+068B3             17        0.04%
浮      U+06D6E             17        0.04%
爱      U+07231             17        0.04%
甫      U+0752B             17        0.04%
省      U+07701             17        0.04%
石      U+077F3             17        0.04%
翡      U+07FE1             17        0.04%
通      U+0901A             17        0.04%
野      U+091CE             17        0.04%
闭      U+095ED             17        0.04%
主      U+04E3B             16        0.04%
举      U+04E3E             16        0.04%
了      U+04E86             16        0.04%
余      U+04F59             16        0.04%
儿      U+0513F             16        0.04%
内      U+05185             16        0.04%
凰      U+051F0             16        0.04%
力      U+0529B             16        0.04%
口      U+053E3             16        0.04%
喜      U+0559C             16        0.04%
坐      U+05750             16        0.04%
墙      U+05899             16        0.04%
娟      U+05A1F             16        0.04%
嫩      U+05AE9             16        0.04%
安      U+05B89             16        0.04%
帆      U+05E06             16        0.04%
最      U+06700             16        0.04%
林      U+06797             16        0.04%
洲      U+06D32             16        0.04%
渚      U+06E1A             16        0.04%
湿      U+06E7F             16        0.04%
班      U+073ED             16        0.04%
笛      U+07B1B             16        0.04%
芙      U+08299             16        0.04%
荡      U+08361             16        0.04%
蓉      U+084C9             16        0.04%
装      U+088C5             16        0.04%
